message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
"什麼是和辣妹吃飯必閃的地雷？快看掰掰啾啾的慘痛經歷！
『麥當勞辣味無雙PK戰』第二回合『辣妹誘惑力』掰掰啾啾PK馬來貘，誰最好笑？由你按讚決定！ http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/672522412790446/?type=3,https://www.facebook.com/mcdonalds.tw/posts/672960519413302:0,2013-12-07T02:00:00+0000,photo,Timeline Photos,101615286547831_672522412790446,18,6142,NONE,6142,false,false,chronological,115,false,119576904728174,掰掰啾啾 Byebyechuchu,page,16,4,,,,,
"最有梗粉絲團，到底是馬來貘，還是掰掰啾啾？兩大爆笑梗王以辣之名，槓上『辣味無雙PK戰』，火辣猛戳你的笑穴！誰是辣中王，由你按讚決定！
http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/671627812879906/?type=3,https://www.facebook.com/mcdonalds.tw/posts/671941812848506:0,2013-12-05T02:00:01+0000,photo,Timeline Photos,101615286547831_671627812879906,341,17623,NONE,17623,false,false,chronological,217,false,,,,,,,,,,
"不久前黃色小鴨為什麼爆炸？原來是…Cherng's幹的好事，快揭穿他超深的霹靂辣心機！
『麥當勞辣味無雙PK戰』掰掰啾啾PK馬來貘？誰最好笑？由你按讚決定！http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/671628296213191/?type=3,https://www.facebook.com/mcdonalds.tw/posts/671941819515172:0,2013-12-05T02:00:01+0000,photo,Timeline Photos,101615286547831_671628296213191,75,9791,NONE,9791,false,false,chronological,31,false,227914967279486,Cherng,page,17,8,,,,,
"掰掰啾啾正妹女友矮半個頭，他如何急中生智，用『勁辣鷄腿堡』挽回男性尊嚴？
『麥當勞辣味無雙PK戰』掰掰啾啾PK馬來貘？誰最好笑？由你按讚決定！
http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/671628126213208/?type=3,https://www.facebook.com/mcdonalds.tw/posts/671941822848505:0,2013-12-05T02:00:01+0000,photo,Timeline Photos,101615286547831_671628126213208,35,4390,NONE,4390,false,false,chronological,146,false,119576904728174,掰掰啾啾 Byebyechuchu,page,0,4,,,,,
"你愛吃辣？你敢吃得辣中辣？
你一定要挑戰痛快爽辣的『勁辣鷄腿堡』或辣中發麻的『霹靂辣雞腿堡』，燒起冷冬裡的一把火辣！不過癮？夜晚可以挑戰『霹靂辣趣飯捲』！http://bit.ly/RedPeri",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/671447986231222/?type=3,https://www.facebook.com/mcdonalds.tw/posts/671447999564554:0,2013-12-04T04:05:40+0000,photo,Timeline Photos,101615286547831_671447986231222,152,1499,NONE,1499,false,false,chronological,20,false,,,,,,,,,,
"想在麥當勞嚐到台味，只剩最後幾天囉！
『台客沙茶鷄排堡』把火鍋必配的沙茶醬，加在無敵酥嫩的鷄排上，意外出奇美味！快來吃，等麥當勞下一次推出台味，不知何年何月囉！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/668857463156941/?type=3,https://www.facebook.com/mcdonalds.tw/posts/668886126487408:0,2013-11-29T09:00:01+0000,photo,Timeline Photos,101615286547831_668857463156941,29,909,NONE,909,false,false,chronological,21,false,,,,,,,,,,
皮卡丘與史奴比在「經典玩具屋」開趴囉！為慶祝30周年，一系列經典玩具讓你重溫青春回憶，就在台灣第一家麥當勞台北民生店，一定要抽空來看喔！,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/668809573161730/?type=3,https://www.facebook.com/mcdonalds.tw/posts/668809579828396:0,2013-11-29T03:38:15+0000,photo,Timeline Photos,101615286547831_668809573161730,104,1801,NONE,1801,false,false,chronological,15,false,,,,,,,,,,
"當麥當勞遇見台式沙茶，你嚐過了嗎？
紀念麥當勞來台30周年，限時大推『台客沙茶鷄排堡』，東西方跨界美味撞擊，意外超搭的，吃過的朋友都說讚，快來試試，晚了就沒囉！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/664104570298897/?type=3,https://www.facebook.com/mcdonalds.tw/posts/666612410048113:0,2013-11-25T02:00:01+0000,photo,Timeline Photos,101615286547831_664104570298897,43,1388,NONE,1388,false,false,chronological,32,false,,,,,,,,,,
即將邁入12月，空氣中彷彿多了一種甜蜜的感覺。來份剛出爐的香芋派吧！綿密香濃的口感搭配熱紅茶只要$50就搞定，給你一個暖暖的冬天！,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/664104256965595/?type=3,https://www.facebook.com/mcdonalds.tw/posts/664129416963079:0,2013-11-21T08:00:00+0000,photo,Timeline Photos,101615286547831_664104256965595,121,1682,NONE,1682,false,false,chronological,61,false,,,,,,,,,,
"你身邊有正妹？或你就是無敵正妹？
就算時光返還30年，回到麥當勞來台的1984，你還是美艷愛神、紅顏禍水！現在就來一秒變身1984經典，天生麗質難自棄，美麗絕對不是妳的錯！ http://bit.ly/1984game",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/663804720328882/?type=3,https://www.facebook.com/mcdonalds.tw/posts/664036843639003:0,2013-11-21T02:00:00+0000,photo,Timeline Photos,101615286547831_663804720328882,73,7635,NONE,7635,false,false,chronological,34,false,,,,,,,,,,
