message,permalink_url,created_time,type,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,link,name
最愛和姊妹開Bling Bling派對了，這次該去哪呢？麥當勞限時改裝的星光旗艦店，夜光星光全亮起，就像在夜店，每張合照都超時尚，忍不住全po臉書，因為每個姊妹都史上最美啊！快看看星光旗艦店在哪吧！ http://bitly.com/mcdnight,https://www.facebook.com/mcdonalds.tw/posts/545643848811637:0,2013-04-26T09:14:47+0000,photo,101615286547831_545643842144971,309,14861,NONE,14861,false,false,chronological,74,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/545643842144971/?type=3,Timeline Photos
"明天要上班了，是期待… 還是…?   
記得明天讓麥當勞請你喝一杯咖啡
讓週一早晨充滿正面的能量！
笑一個吧:D！ http://bitly.com/mondaycafe",https://www.facebook.com/mcdonalds.tw/posts/548853068490715:0,2013-04-26T04:00:00+0000,photo,101615286547831_545666205476068,480,4308,NONE,4308,false,false,chronological,45,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/545666205476068/?type=3,Timeline Photos
"開始Monday blue 了嗎? 再看一次柏霖在片中的溫馨叮嚀，應該會好些吧！明天星期一，別忘了讓麥當勞免費請你喝杯好咖啡，說聲「早安 加油！」^_^

 http://youtu.be/TJnWifGZnWc",https://www.facebook.com/mcdonalds.tw/posts/542847392424616,2013-04-21T12:00:01+0000,video,101615286547831_542847392424616,93,1511,NONE,1511,false,false,chronological,41,false,http://www.youtube.com/watch?v=TJnWifGZnWc,麥當勞 週一免費咖啡
"想想男朋友有多久沒說甜言蜜語啦？
快邀他一起吃『太妃糖冰炫風/雙聖代』，濃郁奶香中拌入糖蜜，甜入心坎兒裡，情話包準把你整個融化了！快！現在麥當勞還給你們第二杯半價喔！
http://www.mcdonalds.com.tw/redir.php?to=news_toffee",https://www.facebook.com/mcdonalds.tw/posts/543530155689673:0,2013-04-21T07:00:01+0000,photo,101615286547831_542848969091125,3546,9957,NONE,9957,false,false,chronological,191,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/542848969091125/?type=3,Timeline Photos
"又到週末，又要為約會新梗想破頭？
麥當勞星光旗艦店，請出音樂達人秀，讓你和情人邊吃晚餐，邊聽Live音樂，平常週末夜就這麼浪漫特別，另一半哪能不感動啊！今夜出場的是阿卡貝拉天團『沙發客』、Exchange、Sure人聲樂團!!！！快看更多場次 http://bitly.com/mcdnight",https://www.facebook.com/mcdonalds.tw/posts/543173895725299:0,2013-04-20T08:00:00+0000,photo,101615286547831_542850799090942,40,1887,NONE,1887,false,false,chronological,4,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/542850799090942/?type=3,Timeline Photos
"台灣夜空驚現蝙蝠俠探照燈！？
不！這是麥當勞星光燈，抬頭一望，提醒今夜要過得很不一樣喔！下次請你化身蝙蝠俠，解救夜晚放空的朋友吧！",https://www.facebook.com/mcdonalds.tw/posts/542815522427803:0,2013-04-19T10:00:01+0000,photo,101615286547831_542440925798596,186,11298,NONE,11298,false,false,chronological,70,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/542440925798596/?type=3,Timeline Photos
"週五就用雙主餐來犒賞自己吧! 麥當勞史上最強 - 勁脆聯盟餐, 香辣過癮的勁辣雞腿堡, 外酥內嫩的麥脆雞, 雙主餐+飲料, 震憾價只要NT$99 元! 
http://www.mcdonalds.com.tw/#/news_bfastcc",https://www.facebook.com/mcdonalds.tw/posts/542743962434959:0,2013-04-19T04:12:28+0000,photo,101615286547831_542743859101636,2567,9168,NONE,9168,false,false,chronological,299,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/542743859101636/?type=3,Timeline Photos
"不管今天過得如何，到了晚上，都值得給自己一個讚，讓今夜不一樣！
http://youtu.be/MgEi1y6RtVE",https://www.facebook.com/mcdonalds.tw/posts/471166002952334,2013-04-17T07:00:00+0000,link,101615286547831_471166002952334,98,2669,NONE,2669,false,false,chronological,41,false,http://www.youtube.com/watch?v=MgEi1y6RtVE,麥當勞今夜不一樣
,https://www.facebook.com/mcdonalds.tw/posts/541653109210711,2013-04-17T01:01:31+0000,photo,101615286547831_541653099210712,23,1808,NONE,1808,false,false,chronological,22,false,https://www.facebook.com/mcdonalds.tw/photos/a.359393464103344.76426.101615286547831/541653099210712/?type=3,麥當勞's cover photo
"各位粉絲，就是明天！麥當勞大請客！
當西餐嫩煎廚藝、混搭東方傳統美食，新食趣只要打卡就有機會請你吃，明天正式公開打卡密語，請各位粉絲一定要密切留意!http://bit.ly/ZNFsOz",https://www.facebook.com/mcdonalds.tw/posts/541326665910022:0,2013-04-16T08:00:01+0000,photo,101615286547831_541068139269208,1161,5722,NONE,5722,false,false,chronological,76,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/541068139269208/?type=3,Timeline Photos
