message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
"享受連假守則No.1，陪著心愛的人悠悠閒閒吃早餐！
搭配 #優惠券 更划算！趕快分享出去～（手機出示圖片立即兌換呦 <3 ）
＞下載更多 #COUPON：http://goo.gl/dIwrMm",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/906194692786427/?type=3,https://www.facebook.com/kfctaiwan/posts/906194692786427:0,2015-05-02T00:40:01+0000,photo,Timeline Photos,324273577645211_906194692786427,43,392,NONE,392,false,false,ranked,3,false,,,,,,,,,,
"犒賞自己，就要十八塊雞，十八啦！ヽ(✿ﾟ▽ﾟ)ノ
#五一勞動節，#肯德基外送 給你！

現在就上 #網路訂餐：http://goo.gl/jgZUzE
或撥訂餐專線：4128000 (是你餓吧!鈴鈴鈴)",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/901139083291988/?type=3,https://www.facebook.com/kfctaiwan/posts/901139083291988:0,2015-05-01T02:45:00+0000,photo,Timeline Photos,324273577645211_901139083291988,2,246,NONE,246,false,false,ranked,0,false,,,,,,,,,,
"當我們桶在一起～ ♫
在一起～在一起～♬
當我們大快朵頤，吃炸雞快樂無比～♪
肯德基 #梭哈派對餐，快揪咖一起吃吃吃(Ｎ次方)！ 

＞#網路訂餐：http://goo.gl/9IYyWv
＞#手機訂餐：http://goo.gl/t3S4xw
＞#訂餐專線：4128000 (是你餓吧!鈴鈴鈴)",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/901235466615683/?type=3,https://www.facebook.com/kfctaiwan/posts/901235466615683:0,2015-04-30T12:34:05+0000,photo,Timeline Photos,324273577645211_901235466615683,9,230,NONE,230,false,false,ranked,1,false,,,,,,,,,,
"快放假了，來看點開心的美圖和美食照片，讓自己心情先開始飛飛飛吧～
謝謝 甜心公主〃糖糖幫我們介紹 #日式醬味海苔脆雞 和 #日式紅豆抹香蛋撻，美食搭配美女帥哥，團長心裡小鹿亂亂撞啦～～　>///////<

#網路訂餐 GO！http://goo.gl/tgbV6B
#手機訂餐 GO！http://goo.gl/OJskdT",https://www.facebook.com/only.candy/photos/a.583877748294378.145480.253646384650851/1069217726427042/?type=3,https://www.facebook.com/kfctaiwan/posts/907026612703235,2015-04-30T02:40:58+0000,photo,甜心公主〃糖糖,324273577645211_907026612703235,,89,NONE,89,false,false,ranked,0,false,253646384650851,甜心公主〃糖糖,page,36,7,,,,,
"想出國沒時間？想吃美食怕傷荷包！
肯德基幫你一「雞」搞定！

肯德基《日式醬味海苔脆雞》，海苔清香 醬油入味 口口都是日式甘甜滋味！
嚐鮮套餐限期優惠~百元有找喔~幸せ~

詳情請上→http://goo.gl/dxjZuM",http://event.theindex.com.tw/kfc/2015japanese/index2.html?utm_source=facebook1200x627&utm_medium=cob&utm_campaign=0428,https://www.facebook.com/kfctaiwan/posts/906137222792174,2015-04-29T05:40:57+0000,link,春季美味賞 就在肯德基！ 日式醬味海苔脆雞限量上市！,324273577645211_906137222792174,39,4959,NONE,4959,false,false,ranked,33,false,,,,,,,,,,
"★想吃免排隊！節省寶貴時間還能好禮三選一！★
肯德基貼心推出「#預訂快取」外帶服務，24小時網路隨時訂，滿額多種附餐任你選免費送！
＞#手機訂餐：http://goo.gl/mnz85F （加入會員還享首購禮）
＞#網路點餐：http://goo.gl/mzBBiA",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/901120886627141/?type=3,https://www.facebook.com/kfctaiwan/posts/901120886627141:0,2015-04-28T02:30:03+0000,photo,Timeline Photos,324273577645211_901120886627141,6,202,NONE,202,false,false,ranked,12,false,,,,,,,,,,
"#自己的小確幸自己創造
肯德基 #日式紅豆抹香蛋撻 兩顆只要$49，為自己與親愛的人打打氣！一人一個剛剛好，你一口、他一口也可以 *^////^*
（手機出示嘗鮮券可立即兌換，趕快分享出去～）",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/896753067063923/?type=3,https://www.facebook.com/kfctaiwan/posts/896753067063923:0,2015-04-27T10:00:01+0000,photo,Timeline Photos,324273577645211_896753067063923,24,317,NONE,317,false,false,ranked,10,false,,,,,,,,,,
"最新推出的日式炸雞和蛋撻讓 阿蹦 為我們破戒了 ^//////^
啊這怎麼好意思咧（扭）
還不快追上他的腳步，趕快到肯德基嚐鮮去！",https://www.facebook.com/bonb.chen/photos/a.584785191564884.1073741827.498459303530807/878785885498145/?type=3,https://www.facebook.com/kfctaiwan/posts/904394209633142,2015-04-27T01:57:38+0000,photo,陳允澤 - 阿蹦,324273577645211_904394209633142,,137,NONE,137,false,false,ranked,1,false,498459303530807,陳允澤 - 阿蹦,page,14,2,,,,,
"好多好多午餐晚餐在這裡～♪
在我們最熟悉的肯德基裡～♪
不管你手邊再忙今天多懶～♪
#肯德基外送 永遠在這裡歡～迎～你！

＞ #網路訂餐：http://goo.gl/xWLPrS （新加入會員獨享首購禮：加送炸雞x1）
＞ #手機訂餐：http://goo.gl/VfpDHi
＞電話訂餐專線：4128-000 (是你餓吧!鈴鈴鈴)",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/900253890047174/?type=3,https://www.facebook.com/kfctaiwan/posts/900253890047174:0,2015-04-26T03:00:06+0000,photo,Timeline Photos,324273577645211_900253890047174,3,242,NONE,242,false,false,ranked,5,false,,,,,,,,,,
"紅豆泥？紅豆！ 
肯德基 #日式紅豆抹香蛋撻 真的有滿滿紅豆泥耶～（大心）
濃郁奶香內餡配上滿滿紅豆泥，淋上 #日式抹茶 淋醬
嗯～紅豆泥歐伊西～
＞馬上買來吃！http://goo.gl/CB7hbR",https://www.facebook.com/kfctaiwan/videos/900266270045936/,https://www.facebook.com/kfctaiwan/videos/900266270045936/,2015-04-25T10:30:00+0000,video,紅豆泥歐伊西！肯德基日式紅豆抹香蛋撻幸福推出,324273577645211_900266270045936,5,208,NONE,208,false,false,ranked,2,false,,,,,,,,,,
